Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-09,114.98735130857452,115.46348136170454,113.64253779480217,114.45397504924551,6604800.154179025,0.0,0.0
2020-06-10,114.79931368903566,115.71716500707859,114.04604509836153,114.58173663147673,6936663.183539104,0.0,0.0
2020-06-11,113.94530611752687,114.86810774441639,110.78089965452185,111.07159062009212,9294353.752691442,0.0,0.0
2020-06-12,112.099733001456,112.73391129966683,109.54412829352857,110.62185509189112,8319991.716923956,0.08942144675777608,0.0
2020-06-15,109.98964636580303,111.67296504626071,108.8435569356799,111.3173379401983,7224328.701726275,0.0,0.0
2020-06-16,113.18801312480373,113.89357548006346,111.75585256949456,112.99509705268275,6807340.84892061,0.0,0.0
2020-06-17,113.12375461757604,113.8049952959701,112.20924539436055,112.66378679706825,5096124.38282536,0.0,0.0
2020-06-18,112.38720274148916,113.36859636550545,111.7141246929584,112.81997600521143,4526422.454686394,0.0,0.0
2020-06-19,113.86758955830163,114.55768608124936,111.79836938303629,112.57392356276617,11493761.320503583,0.08562814766908647,0.0
2020-06-22,112.73555307542263,113.57025900810184,111.95080780674076,112.92514739545959,6634390.227759014,0.0,0.0
2020-06-23,113.68717202330149,114.41197807606552,112.5383320802982,112.8346565557014,5575584.521453202,0.0,0.0
2020-06-24,112.35260386045306,112.7289652751664,110.59334085494604,111.24819818684455,6208595.82940861,0.0,0.0
2020-06-25,110.97565587836664,112.21032010832934,109.90932515313088,111.85203999873566,5444339.053612352,0.0,0.0
2020-06-26,111.94097900957485,112.67634632185899,109.65735081648273,110.04712575908322,8213592.904077635,0.0,0.0
2020-06-29,110.60386022506312,111.9824098429956,110.14154528047305,111.61642633173955,5366901.870434262,0.0,0.0
2020-06-30,111.71388872633149,112.90829989822275,111.09100780690746,112.42003636881714,6908519.280247165,0.0,0.0
2020-07-01,112.36795355986162,113.29997962456434,111.66261112325472,112.50977697520631,5286149.922404826,0.009031580012132421,0.0
2020-07-02,113.35875452532531,114.20973815440973,112.47453305128177,112.88599827319709,5087199.071374318,0.00949453098826492,0.0
2020-07-06,113.59482136827324,114.25714251178478,112.41447740713498,113.46842021132619,5565928.3381048525,0.0,0.0
2020-07-07,112.9409025305292,116.57782326097382,112.53808314945948,115.82090377723358,11239942.180611562,0.0,0.0
2020-07-08,116.16920264859993,116.63756447222258,114.44229287056326,115.29552482172343,7978256.167410888,0.0,0.0
2020-07-09,115.57288059340769,117.39108481608272,114.5835950219005,116.06549837604045,7927725.172575558,0.010169830940246437,0.0
2020-07-10,116.36413709664888,118.22889667122969,115.4305352564183,117.8145792233358,7824000.434418621,0.003595236300208608,0.0
2020-07-13,118.36216014455417,119.7357225346627,116.63589684509434,117.20218711698855,8123886.633858895,0.0,0.0
2020-07-14,116.83529047712797,119.64740806312021,116.50258866441622,119.24891691391124,6636609.457137563,0.002767911120034829,0.0
2020-07-15,119.59438370181228,120.69761426358075,118.4887421569029,119.18587709278438,7523950.131762207,0.0,0.0
2020-07-16,119.15587900135839,119.94719840715578,118.36795239535857,119.34498788607266,4850543.380181296,0.0,0.0
2020-07-17,120.02316837566124,120.35813568618192,118.82258719832276,119.34163740746597,5022350.399461761,0.016778218530599086,0.0
2020-07-20,119.24103788549604,119.7687361728421,117.89389409374618,118.67063180488145,5399464.728919124,0.0,0.0
2020-07-21,119.3557505828586,121.10648745923969,118.88349465552844,119.56308492412104,7123312.964154895,0.0,0.0
2020-07-22,120.02439175163008,120.5277387543305,118.46141551205383,120.1823086942379,6754077.72852342,0.0,0.0
2020-07-23,120.53636530828344,121.32535732434141,119.40727933377627,120.1413897110047,5365046.473499,0.0,0.0
2020-07-24,120.03216739894442,121.1483132968738,119.14818328143315,119.79469180728181,4854072.39253485,0.0,0.0
2020-07-27,119.60555675235558,120.89317277270997,119.25525727498801,120.42966235540953,5392804.666185548,0.0,0.0
2020-07-28,120.45082859908379,121.52963623714038,119.76808306821448,120.55076689914097,4982749.203524764,0.01679814884179219,0.0
2020-07-29,120.5216075201782,121.25125189386017,119.55393071694212,120.30515382889055,4765639.658062486,0.0,0.0
2020-07-30,119.46579079849158,120.61937817810505,118.6846825014156,120.02672178933507,5155480.315058194,0.06143228654038281,0.0
